"MLS #","Cat","Status","Address","City","County","Beds","Baths","Structure Type","Status Contractual Search Date","List Office Name","Price"
"VAFX2179538","RES","CLS","7102 Capitol View Dr","Mclean","Fairfax, VA","7","7/2","Detached","08/23/24","Washington Fine Properties, LLC (WFP4)","$4,050,000"
"VAFX2179670","RES","CLS","7201 Old Dominion Dr","Mclean","Fairfax, VA","6","6/3","Detached","08/29/24","Washington Fine Properties, LLC (WFP4)","$4,300,000"
"VAFX2178306","RES","CLS","1271 Kensington Rd","Mclean","Fairfax, VA","6","5","Detached","08/27/24","TTR Sothebys International Realty (TTRS3)","$2,100,000"
"VAFX2179432","RES","CLS","8220 Crestwood Heights Dr #1511","Mclean","Fairfax, VA","1","2/0","Penthouse Unit/Flat/Apartment","07/11/24","Redfin Corporation (REFC1)","$635,000"
"VAFX2179206","RES","CLS","6526 Chesterfield Ave","Mclean","Fairfax, VA","6","6/2","Detached","07/19/24","MCM Realty Company (MAR1)","$2,625,000"
"VAFX2178428","RES","CLS","1761 Old Meadow Rd #504","Mclean","Fairfax, VA","2","2/1","Penthouse Unit/Flat/Apartment","06/12/24","Samson Properties (SAMP33)","$990,000"
"VAFX2178118","RES","CLS","1761 Old Meadow Rd #520","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","06/20/24","Evergreen Properties (EVG2)","$869,000"
"VAFX2178540","RES","CLS","1458 Highwood Dr","Mclean","Fairfax, VA","5","4/1","Detached","06/17/24","Keller Williams Realty (KWR21)","$1,755,000"
"VAFX2178748","RES","CLS","1808 Old Meadow Rd #303","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","07/01/24","Compass (COMPS5)","$265,000"
"VAFX2178916","RES","CLS","7640 Tremayne Place #308","Mclean","Fairfax, VA","3","2","Unit/Flat/Apartment","06/14/24","Keller Williams Realty (KWR21)","$505,000"
"VAFX2178752","RES","CLS","1956 Kennedy Dr #T1","Mclean","Fairfax, VA","2","1/0","Unit/Flat/Apartment","07/03/24","Compass (COMPS5)","$340,000"
"VAFX2178714","RES","CLS","1645 International Dr #427","Mclean","Fairfax, VA","1","1/1","Unit/Flat/Apartment","07/05/24","4J Real Estate, LLC (JREALE)","$385,000"
"VAFX2178454","RES","CLS","1957 Kennedy Dr #1957","Mclean","Fairfax, VA","2","2/1","Interior Row/Townhouse","05/31/24","Sampson Properties (SAMP33)","$465,000"
"VAFX2178024","RES","CLS","6202 Nethercombe Ct","Mclean","Fairfax, VA","5","3/1","Detached","05/20/24","Weichert, REALTORS (WEI70)","$1,649,000"
"VAFX2178410","RES","CLS","1575 Forest Villa Ln","Mclean","Fairfax, VA","5","4/1","Detached","07/16/24","Keller Williams Realty (KWR21)","$1,812,000"
"VAFX2178568","RES","CLS","1650 Silver Hill Dr #1809","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","09/04/24","Long & Foster Real Estate, Inc. (LNG85)","$620,000"
"VAFX2175906","RES","CLS","1808 Old Meadow Rd #812","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","07/08/24","KW Metro Center (KWR19)","$370,000"
"VAFX2171202","RES","CLS","5907 Moss Wood Ln","Mclean","Fairfax, VA","6","4/1","Detached","06/14/24","McEnearney Associates, Inc. (MCE3)","$2,450,000"
"VAFX2176476","RES","CLS","1411 Grady Randall Ct","Mclean","Fairfax, VA","6","5/1","Detached","05/28/24","Compass (COMPS1)","$2,235,300"
"VAFX2177608","RES","CLS","1405 Buena Vista Ave","Mclean","Fairfax, VA","5","4/1","Detached","07/15/24","Long & Foster Real Estate, Inc. (LNG78)","$1,925,000"
"VAFX2177964","RES","CLS","8340 Greensboro Dr #721","Mclean","Fairfax, VA","2","2/0","Unit/Flat/Apartment","07/30/24","McEnearney Associates, Inc. (MCE3)","$525,000"
"VAFX2173010","RES","CLS","1444 Harvest Crossing Dr","Mclean","Fairfax, VA","4","3/2","Interior Row/Townhouse","08/30/24","Long & Foster Real Estate, Inc. (LNG83)","$1,835,000"
"VAFX2177668","RES","CLS","1650 Silver Hill Dr #1008","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/26/24","EXP Realty, LLC (EXPY5)","$545,000"
"VAFX2177450","RES","CLS","1525 Lincoln Way #101","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","09/03/24","Pearson Smith Realty, LLC (PSTH3)","$277,600"
"VAFX2177220","RES","CLS","1007 Kimberwicke Rd","Mclean","Fairfax, VA","5","3/1","Detached","08/08/24","Washington Fine Properties, LLC (WFP4)","$1,925,000"
"VAFX2177254","RES","CLS","6227 Cottonwood St","Mclean","Fairfax, VA","5","4/1","Detached","05/17/24","Keller Williams Realty (KWR21)","$2,100,000"
"VAFX2177480","RES","CLS","8621 Tebbs Ln","Mclean","Fairfax, VA","3","2","Detached","01/10/25","RE/MAX Gateway, LLC (RMAX154)","$1,800,000"
"VAFX2177636","RES","CLS","8360 Greensboro Dr #309","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","07/17/24","Realty ONE Group Capital (ROGC1)","$455,500"
"VAFX2177352","RES","CLS","6213 Nethercombe Ct","Mclean","Fairfax, VA","5","3","Detached","06/17/24","Compass (COMPS9)","$1,560,000"
"VAFX2176970","RES","CLS","1412 Kurtz Rd","Mclean","Fairfax, VA","5","4/1","Detached","06/21/24","Washington Fine Properties, LLC (WFP4)","$2,500,000"
"VAFX2176550","RES","CLS","1278 Ballantrae Farm Dr","Mclean","Fairfax, VA","6","7/1","Detached","09/30/24","Long & Foster Real Estate, Inc. (LNG83)","$5,000,000"
"VAFX2174786","RES","CLS","7809 Grovemont Dr","Mclean","Fairfax, VA","5","5/2","Detached","05/20/24","Keller Williams Realty (KWR21)","$3,500,000"
"VAFX2172742","RES","CLS","6853 Strata St","Mclean","Fairfax, VA","5","4/1","Detached","05/17/24","Berkshire Hathaway HomeServices PenFed Realty (PFED8)","$2,050,000"
"VAFX2176794","RES","CLS","7418 Dulany Dr","Mclean","Fairfax, VA","4","4/1","Detached","06/03/24","TTR Sotheby's International Realty (TTRS2)","$1,995,000"
"VAFX2176528","RES","CLS","8409 Brookewood Ct","Mclean","Fairfax, VA","7","6/2","Detached","09/27/24","Long & Foster Real Estate, Inc. (LNG83)","$2,989,000"
"VAFX2176710","RES","CLS","6718 Lowell Ave #603","Mclean","Fairfax, VA","3","2/1","Unit/Flat/Apartment","08/15/25","McWilliams/Ballard Inc. (MCWB1)","$2,257,900"
"VAFX2176708","RES","CLS","6718 Lowell Ave #504","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","01/16/26","McWilliams/Ballard Inc. (MCWB1)","$1,559,900"
"VAFX2176582","RES","CLS","7621 Provincial Dr #306","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","06/24/24"," (CLCK1)","$280,000"
"VAFX2176354","RES","CLS","1916 Wilson Ln #102","Mclean","Fairfax, VA","2","1/0","Unit/Flat/Apartment","06/28/24","Keller Williams Realty (KWR21)","$355,000"
"VAFX2174216","RES","CLS","6631 Tucker Ave","Mclean","Fairfax, VA","4","4/1","Detached","06/21/24","Washington Fine Properties, LLC (WFP4)","$1,905,000"
"VAFX2176130","RES","CLS","1650 Silver Hill Dr #1702","Mclean","Fairfax, VA","2","2/1","Other","07/03/24","Keller Williams Realty (KWR21)","$1,500,000"
"VAFX2175266","RES","CLS","1517 Lincoln Way #301","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","06/21/24","Keller Williams Capital Properties (KWCP3)","$410,000"
"VAFX2175802","RES","CLS","1650 Silver Hill Dr #2206","Mclean","Fairfax, VA","2","2/1","Unit/Flat/Apartment","08/02/24","Keller Williams Realty (KWR21)","$1,837,500"
"VAFX2176254","RES","CLS","1412 Mayflower Dr","Mclean","Fairfax, VA","6","6/2","Detached","07/11/24","Washington Fine Properties, LLC (WFP1)","$2,600,000"
"VAFX2175076","RES","CLS","7720 Tremayne Pl #310","Mclean","Fairfax, VA","2","2","Unit/Flat/Apartment","05/16/24","Long & Foster Real Estate, Inc. (LNG83)","$370,000"
"VAFX2175542","RES","CLS","1034 Northwoods Trl","Mclean","Fairfax, VA","4","4/1","Detached","05/30/24","Berkshire Hathaway HomeServices PenFed Realty (PFED36)","$1,775,000"
"VAFX2175722","RES","CLS","6900 Fleetwood Rd #309","Mclean","Fairfax, VA","1","1","Unit/Flat/Apartment","08/16/24","Compass (COMPS2)","$989,000"
"VAFX2173210","RES","CLS","6931 Espey Ln","Mclean","Fairfax, VA","5","3","Detached","04/05/24","Non Subscribing Office (NON1)","$1,280,000"
"VAFX2174702","RES","CLS","662 Live Oak Dr","Mclean","Fairfax, VA","8","7","Detached","06/14/24","Compass (COMPS5)","$2,000,000"
"VAFX2174014","RES","CLS","1524 Lincoln Way #339","Mclean","Fairfax, VA","1","1/0","Unit/Flat/Apartment","05/10/24","Samson Properties (SAMP1)","$283,000"
